Date,Open,High,Low,Close,Volume,Adj Close
2007-07-09,6118.63,6133.12,6097.78,6104.66,115446000,6104.66
2007-07-06,6061.20,6106.57,6059.60,6102.69,88998400,6102.69
2007-07-05,6113.23,6115.09,6051.92,6059.53,110236500,6059.53
2007-07-04,6080.86,6104.57,6079.54,6098.08,80621400,6098.08
2007-07-03,6074.12,6083.99,6065.11,6069.84,134204700,6069.84
2007-07-02,6021.10,6040.33,6011.38,6026.95,108777900,6026.95
2007-06-29,6031.74,6054.93,5976.95,6054.93,131157800,6054.93
2007-06-28,5995.87,6006.31,5976.23,6006.31,129960500,6006.31
2007-06-27,5921.46,5948.12,5897.80,5941.67,138099900,5941.67
2007-06-26,5962.65,5990.01,5939.23,5953.36,132548800,5953.36
2007-06-25,5971.96,6010.30,5943.24,6002.85,157168700,6002.85
2007-06-22,6040.51,6055.32,6009.10,6023.25,124716200,6023.25
2007-06-21,6043.18,6063.40,5995.37,6029.79,162554200,6029.79
2007-06-20,6095.26,6132.14,6090.27,6093.29,137234600,6093.29
2007-06-19,6091.92,6106.89,6058.36,6071.67,139110700,6071.67
2007-06-18,6117.52,6118.82,6065.08,6087.15,124120600,6087.15
2007-06-15,6063.52,6122.31,6056.68,6105.28,251054700,6105.28
2007-06-14,5974.59,6047.23,5971.06,6047.23,196892900,6047.23
2007-06-13,5878.84,5951.12,5851.48,5934.27,141014900,5934.27
2007-06-12,5928.81,5944.59,5882.44,5898.16,137340100,5898.16
2007-06-11,5939.34,5948.02,5915.06,5940.09,121877900,5940.09
2007-06-08,5876.65,5917.84,5837.14,5883.29,175318500,5883.29
2007-06-07,5982.54,5999.81,5879.05,5890.49,194615600,5890.49
2007-06-06,6072.64,6080.70,5971.42,5977.87,156474400,5977.87
2007-06-05,6140.06,6142.37,6076.59,6078.54,127436500,6078.54
2007-06-04,6157.33,6163.90,6112.29,6125.81,114559400,6125.81
2007-06-01,6113.18,6168.15,6105.61,6168.15,131789900,6168.15
2007-05-31,6086.86,6119.33,6066.98,6104.00,146410000,6104.00
2007-05-30,6015.75,6046.11,5986.26,6042.15,117129000,6042.15
2007-05-29,6079.67,6079.67,6044.51,6056.39,91777400,6056.39
2007-05-28,6065.25,6073.99,6051.17,6071.47,17502800,6071.47
2007-05-25,6019.68,6073.37,6011.49,6057.49,111888100,6057.49
2007-05-24,6069.95,6110.36,6039.32,6048.31,137761900,6048.31
2007-05-23,6093.61,6121.87,6093.32,6120.20,155669900,6120.20
2007-05-22,6093.64,6106.98,6076.87,6089.72,122899200,6089.72
2007-05-21,6091.59,6110.31,6062.33,6089.91,107917800,6089.91
2007-05-18,6018.23,6111.72,6016.12,6101.14,158775400,6101.14
2007-05-17,6044.15,6048.97,6010.76,6027.00,79766400,6027.00
2007-05-16,6039.55,6053.02,6012.84,6017.91,127693700,6017.91
2007-05-15,6001.75,6057.71,5987.49,6049.76,130952400,6049.76
2007-05-14,6070.30,6070.30,6016.96,6026.42,103490000,6026.42
2007-05-11,5956.00,6051.19,5927.51,6050.63,181268700,6050.63
2007-05-10,6044.67,6058.10,6006.99,6012.76,131952500,6012.76
2007-05-09,6070.18,6078.28,6020.69,6051.63,122942600,6051.63
2007-05-08,6057.59,6064.20,6015.99,6034.25,105854600,6034.25
2007-05-07,6079.86,6081.78,6058.92,6071.48,72714200,6071.48
2007-05-04,6012.55,6075.58,5999.79,6068.83,138972600,6068.83
2007-05-03,6018.59,6019.70,5969.71,6004.28,120110300,6004.28
2007-05-02,5985.20,6001.17,5958.98,5990.13,135801500,5990.13
2007-04-30,5913.03,5976.34,5913.03,5960.04,85311800,5960.04
2007-04-27,5940.76,5950.99,5908.38,5930.77,112308900,5930.77
2007-04-26,5979.96,5981.55,5930.91,5944.44,141436800,5944.44
2007-04-25,5902.54,5962.39,5902.54,5947.33,140026000,5947.33
2007-04-24,5911.65,5923.61,5860.69,5886.03,173394900,5886.03
2007-04-23,5937.15,5958.47,5904.56,5917.32,113092800,5917.32
2007-04-20,5856.50,5957.80,5855.26,5938.90,193738900,5938.90
2007-04-19,5775.56,5834.25,5745.03,5829.04,159945600,5829.04
2007-04-18,5849.20,5859.17,5813.46,5835.95,126860400,5835.95
2007-04-17,5844.49,5871.86,5820.74,5858.14,115309500,5858.14
2007-04-16,5815.36,5861.97,5806.52,5861.97,115781700,5861.97
2007-04-13,5762.06,5794.62,5748.74,5789.34,92576400,5789.34
2007-04-12,5744.42,5759.27,5701.35,5748.94,113848800,5748.94
2007-04-11,5757.94,5798.21,5741.27,5751.92,107745000,5751.92
2007-04-10,5750.47,5774.97,5725.93,5766.27,108048000,5766.27
2007-04-05,5731.70,5751.33,5721.00,5741.38,79691800,5741.38
2007-04-04,5730.28,5739.01,5707.39,5739.01,122864200,5739.01
2007-04-03,5681.65,5713.53,5669.28,5711.91,117590800,5711.91
2007-04-02,5623.40,5648.18,5609.28,5645.56,116783000,5645.56
2007-03-30,5630.17,5674.26,5609.02,5634.16,106559100,5634.16
2007-03-29,5579.99,5633.42,5578.84,5631.53,102912200,5631.53
2007-03-28,5563.50,5574.91,5530.79,5552.69,128851600,5552.69
2007-03-27,5609.66,5617.97,5572.01,5587.06,116854900,5587.06
2007-03-26,5638.48,5638.63,5546.28,5576.30,155438900,5576.30
2007-03-23,5589.80,5642.19,5576.82,5634.75,132817900,5634.75
2007-03-22,5577.72,5610.43,5560.50,5598.37,170424700,5598.37
2007-03-21,5499.05,5518.12,5490.58,5502.18,125262700,5502.18
2007-03-20,5459.67,5504.84,5426.43,5503.27,140060100,5503.27
2007-03-19,5435.37,5459.40,5411.54,5458.95,68657400,5458.95
2007-03-16,5380.13,5420.62,5346.73,5382.16,191552000,5382.16
2007-03-15,5376.36,5389.85,5320.37,5389.85,157388900,5389.85
2007-03-14,5346.74,5366.71,5295.58,5296.22,214300300,5296.22
2007-03-13,5498.58,5508.56,5432.51,5432.94,129619800,5432.94
2007-03-12,5553.82,5565.42,5478.52,5496.07,121047700,5496.07
2007-03-09,5515.92,5549.30,5473.32,5537.84,137914100,5537.84
2007-03-08,5493.70,5529.31,5481.55,5524.26,146668500,5524.26
2007-03-07,5458.30,5469.01,5430.70,5455.07,146583800,5455.07
2007-03-06,5431.15,5443.95,5399.12,5437.13,165844200,5437.13
2007-03-05,5325.14,5404.14,5303.29,5385.03,188472900,5385.03
2007-03-02,5480.27,5499.22,5391.10,5424.70,182954000,5424.70
2007-03-01,5502.09,5555.37,5355.75,5458.40,285963100,5458.40
2007-02-28,5475.89,5556.85,5458.65,5516.32,248669100,5516.32
2007-02-27,5719.04,5719.45,5581.06,5588.39,208229600,5588.39
2007-02-26,5732.28,5771.69,5728.07,5762.54,104397000,5762.54
2007-02-23,5723.79,5727.60,5688.83,5716.38,134365000,5716.38
